in_color,Instructions_key.keys,Instructions_key.rt,Tutorial_instruction_key.keys,Tutorial_instruction_key.rt,Tutorial_fixation_ley.keys,Tutorial_fixation_ley.rt,Tutorial_single_img_key.keys,Tutorial_single_img_key.rt,Tutorial_intra_trial_fixation_key.keys,Tutorial_intra_trial_fixation_key.rt,Tutorial_stimulus_key.keys,Tutorial_stimulus_key.rt,Tutorial_response_key.keys,Tutorial_response_key.rt,Tutorial_attention_check_key.keys,Tutorial_attention_check_key.rt,advance_or_repeat.keys,advance_or_repeat.rt,Practice_instructions_key.keys,Practice_instructions_key.rt,intra_trial_duration,Practice_key_response.keys,Practice_key_response.rt,Practice_react_key.keys,Practice_react_key.rt,Practice_loop.thisRepN,Practice_loop.thisTrialN,Practice_loop.thisN,Practice_loop.thisIndex,Practice_loop.ran,multi_object_filepath,background_id,foreground_id,multi_object_rotation,occlusion_level,single_object_id,single_object_filepath,single_is_foreground_or_random,single_object_rotation,background_choice_id,alt_choice_id,background_option_filepath,alternative_option_filepath,alternative_is_foreground_or_random,location_of_correct_answer,multi_object_exp_filename,single_object_exp_filename,background_option_exp_filename,alternative_option_exp_filename,participant,session,date,expName,psychopyVersion,OS,frameRate,Practice_end_key.keys,Practice_end_key.rt,correct_answer,Input_selection.keys,Input_selection.rt,Was_attention_check,Attention_check.keys,Attention_check.corr,Each_session_loop.thisRepN,Each_session_loop.thisTrialN,Each_session_loop.thisN,Each_session_loop.thisIndex,Each_session_loop.ran,Attention_check.rt,Num_sessions.thisRepN,Num_sessions.thisTrialN,Num_sessions.thisN,Num_sessions.thisIndex,Num_sessions.ran
False,space,9.2429,space,3.8858,space,5.3724,space,3.9659,space,1.9381,space,14.4385,left,5.4309,right,4.982,a,6.7698,space,2.4915,0.05,right,1.6515,r,4.6496,0.0,0.0,0.0,0.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_9/n02828884_3/img_chair_eames_plastic_armchair_b04_wood_metal_park_bench_2006_gray.jpg,n03001627_9,n02828884_3,flexible,0.701443,n02828884_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_9/n02828884_3/img_chair_eames_plastic_armchair_b04_wood_metal_park_bench_2006-3_gray.png,foreground,same as foreground,n03001627_9,n02828884_3,Stimuli/canonical view 2/img_n03001627_9_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,foreground,left,Experiments/experiment_12/1000.jpg,Experiments/experiment_12/1001.jpg,Experiments/experiment_12/1002.jpg,Experiments/experiment_12/1003.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,right,1.309,r,4.4835,0.0,1.0,1.0,1.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04405907_9/img_dp_33_b_2013__vray_vray_004_2002_gray.jpg,n03928116_4,n04405907_9,flexible,0.700074,n04379243_8,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_5/n04379243_8/img_meridiani_belmondo_bench_sofa_glass_table_2014-3_gray.png,random,fixed,n03928116_4,n04405907_9,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,foreground,right,Experiments/experiment_12/1004.jpg,Experiments/experiment_12/1005.jpg,Experiments/experiment_12/1006.jpg,Experiments/experiment_12/1007.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,right,1.4707,r,3.2177,0.0,2.0,2.0,2.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_-2/n04405907_5/img_sink_base_white_wood_samsung_40_uhd_smart_tv_2011_2015_gray.jpg,n02933112_-2,n04405907_5,flexible,0.868022,n02933112_4,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03001627_-2/n02933112_4/img_wood_chair_buffet_2003-3_gray.png,random,flexible,n02933112_-2,n03001627_8,Stimuli/canonical view 2/img_n02933112_-2_gray.jpg,Stimuli/canonical view 2/img_n03001627_8_gray.jpg,random,left,Experiments/experiment_12/1008.jpg,Experiments/experiment_12/1009.jpg,Experiments/experiment_12/1010.jpg,Experiments/experiment_12/1011.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,right,0.8755,r,4.1893,0.0,3.0,3.0,3.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04256520_9/img_dp_33_b_2013__vray_napoleon_iii_sofa_2000_gray.jpg,n03928116_4,n04256520_9,fixed,0.779327,n04256520_9,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n04256520_9/img_dp_33_b_2013__vray_napoleon_iii_sofa_2000-3_gray.png,foreground,same as foreground,n03928116_4,n04256520_9,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,foreground,right,Experiments/experiment_12/1012.jpg,Experiments/experiment_12/1013.jpg,Experiments/experiment_12/1014.jpg,Experiments/experiment_12/1015.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,left,1.6991,r,1.9129,0.0,4.0,4.0,4.0,1.0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n02883344_0/img_vray_004_b03_box_2008_gray.jpg,n04405907_9,n02883344_0,fixed,0.705294,n02883344_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n02883344_0/img_vray_004_b03_box_2008-3_gray.png,foreground,same as foreground,n04405907_9,n04379243_-7,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,Stimuli/canonical view 2/img_n04379243_-7_gray.jpg,random,left,Experiments/experiment_12/1016.jpg,Experiments/experiment_12/1017.jpg,Experiments/experiment_12/1018.jpg,Experiments/experiment_12/1019.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,left,1.2413,a,3.4917,0.0,5.0,5.0,5.0,1.0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n02828884_3/img_b03_box_b04_wood_metal_park_bench_2001_gray.jpg,n02883344_0,n02828884_3,flexible,0.747668,n03928116_10,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n03928116_10/img_quatre_dining_table_ydp_103_r_2012__vray_2001-3_gray.png,random,fixed,n02883344_0,n04256520_4,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,random,left,Experiments/experiment_12/1020.jpg,Experiments/experiment_12/1021.jpg,Experiments/experiment_12/1022.jpg,Experiments/experiment_12/1023.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n04379243_0/img_club_house_italia_nautilus_sofa_17th_c._monastery_dining_table_2010_2008_gray.jpg,n04256520_4,n04379243_0,fixed,0.706903,n04379243_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n04379243_0/img_club_house_italia_nautilus_sofa_17th_c._monastery_dining_table_2010_2008-3_gray.png,foreground,same as foreground,n04256520_4,n04379243_0,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,foreground,right,Experiments/experiment_12/0.jpg,Experiments/experiment_12/1.jpg,Experiments/experiment_12/2.jpg,Experiments/experiment_12/3.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,space,2.0759,left,"[""left""]",[0.8859000000022661],False,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02883344_15/img_buffet_microwave_box_2005_gray.jpg,n02933112_4,n02883344_15,flexible,0.704481,n04256520_4,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_9/n04256520_4/img_vray_004_club_house_italia_nautilus_sofa_2008-3_gray.png,random,flexible,n02933112_4,n02883344_15,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,foreground,right,Experiments/experiment_12/4.jpg,Experiments/experiment_12/5.jpg,Experiments/experiment_12/6.jpg,Experiments/experiment_12/7.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,left,"[""left""]",[1.23050000000012],False,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n02883344_-1/img_glass_table_woven_box_2004_gray.jpg,n04379243_8,n02883344_-1,fixed,0.780706,n02883344_-1,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n02883344_-1/img_glass_table_woven_box_2004-3_gray.png,foreground,same as foreground,n04379243_8,n02883344_-1,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,Stimuli/canonical view 2/img_n02883344_-1_gray.jpg,foreground,left,Experiments/experiment_12/8.jpg,Experiments/experiment_12/9.jpg,Experiments/experiment_12/10.jpg,Experiments/experiment_12/11.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[0.5831999999993513],False,,0.0,0.0,2.0,2.0,2.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_0/n04379243_0/img_b03_box_17th_c._monastery_dining_table_2010_2002_gray.jpg,n02883344_0,n04379243_0,flexible,0.821074,n02883344_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_5/n02883344_0/img_samsung_40_uhd_smart_tv_2011_b03_box_2008-3_gray.png,random,flexible,n02883344_0,n04379243_0,Stimuli/canonical view 2/img_n02883344_0_gray.jpg,Stimuli/canonical view 2/img_n04379243_0_gray.jpg,foreground,right,Experiments/experiment_12/12.jpg,Experiments/experiment_12/13.jpg,Experiments/experiment_12/14.jpg,Experiments/experiment_12/15.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,left,"[""left""]",[0.7646000000015647],True,right,1.0,0.0,3.0,3.0,3.0,1.0,1.5645,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_-7/n04256520_9/img_quatre_dining_table_napoleon_iii_sofa_2007_gray.jpg,n04379243_-7,n04256520_9,fixed,0.733129,n02883344_0,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02883344_0/img_buffet_b03_box_2004-3_gray.png,random,fixed,n04379243_-7,n04256520_9,Stimuli/canonical view 2/img_n04379243_-7_gray.jpg,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,foreground,right,Experiments/experiment_12/16.jpg,Experiments/experiment_12/17.jpg,Experiments/experiment_12/18.jpg,Experiments/experiment_12/19.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[0.8471999999992477],False,,0.0,0.0,4.0,4.0,4.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n02818832_3/img_napoleon_iii_sofa_b05_ccm_contemporary_bed_max2013_2005_gray.jpg,n04256520_9,n02818832_3,flexible,0.703334,n02818832_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n02818832_3/img_napoleon_iii_sofa_b05_ccm_contemporary_bed_max2013_2005-3_gray.png,foreground,same as foreground,n04256520_9,n02818832_3,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,foreground,right,Experiments/experiment_12/20.jpg,Experiments/experiment_12/21.jpg,Experiments/experiment_12/22.jpg,Experiments/experiment_12/23.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""left""]",[1.1965000000000146],False,,0.0,0.0,5.0,5.0,5.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_15/n04405907_8/img_microwave_box_stylized_tv_2002_gray.jpg,n02883344_15,n04405907_8,flexible,0.714956,n04405907_5,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n04405907_5/img_bed01_blue_samsung_40_uhd_smart_tv_2011_2003-3_gray.png,random,flexible,n02883344_15,n02818832_3,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,random,right,Experiments/experiment_12/24.jpg,Experiments/experiment_12/25.jpg,Experiments/experiment_12/26.jpg,Experiments/experiment_12/27.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[0.9239999999999782],False,,0.0,0.0,6.0,6.0,6.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_4/n04405907_5/img_club_house_italia_nautilus_sofa_samsung_40_uhd_smart_tv_2011_2004_gray.jpg,n04256520_4,n04405907_5,fixed,0.800291,n04379243_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_4/n04379243_8/img_b05_c-5_classic_series_bench-2012_glass_table_2015-3_gray.png,random,flexible,n04256520_4,n04405907_5,Stimuli/canonical view 2/img_n04256520_4_gray.jpg,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,foreground,right,Experiments/experiment_12/28.jpg,Experiments/experiment_12/29.jpg,Experiments/experiment_12/30.jpg,Experiments/experiment_12/31.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[0.7724000000023352],False,,0.0,0.0,7.0,7.0,7.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_5/n03001627_-2/img_samsung_40_uhd_smart_tv_2011_wood_chair_2007_gray.jpg,n04405907_5,n03001627_-2,flexible,0.750284,n04379243_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_5/n04379243_0/img_samsung_40_uhd_smart_tv_2011_17th_c._monastery_dining_table_2010_2005-3_gray.png,random,flexible,n04405907_5,n03001627_-2,Stimuli/canonical view 2/img_n04405907_5_gray.jpg,Stimuli/canonical view 2/img_n03001627_-2_gray.jpg,foreground,left,Experiments/experiment_12/32.jpg,Experiments/experiment_12/33.jpg,Experiments/experiment_12/34.jpg,Experiments/experiment_12/35.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[0.8166999999991731],False,,0.0,0.0,8.0,8.0,8.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02828884_3/img_bed01_blue_b04_wood_metal_park_bench_2011_gray.jpg,n02818832_9,n02828884_3,flexible,0.770281,n02828884_3,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02828884_3/img_bed01_blue_b04_wood_metal_park_bench_2011-3_gray.png,foreground,same as foreground,n02818832_9,n02828884_3,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,Stimuli/canonical view 2/img_n02828884_3_gray.jpg,foreground,right,Experiments/experiment_12/36.jpg,Experiments/experiment_12/37.jpg,Experiments/experiment_12/38.jpg,Experiments/experiment_12/39.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,left,"[""left""]",[0.8103000000007796],False,,0.0,0.0,9.0,9.0,9.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_4/n03928116_10/img_dp_33_b_2013__vray_ydp_103_r_2012__vray_2011_gray.jpg,n03928116_4,n03928116_10,fixed,0.772634,n04405907_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_4/n04405907_8/img_b05_c-5_classic_series_bench-2012_stylized_tv_2011-3_gray.png,random,flexible,n03928116_4,n03928116_0,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,random,right,Experiments/experiment_12/40.jpg,Experiments/experiment_12/41.jpg,Experiments/experiment_12/42.jpg,Experiments/experiment_12/43.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,left,"[""left""]",[1.3185000000000855],False,,0.0,0.0,10.0,10.0,10.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02883344_15/n02883344_-1/img_microwave_box_woven_box_2007_gray.jpg,n02883344_15,n02883344_-1,fixed,0.788457,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02828884_3/n03928116_0/img_b04_wood_metal_park_bench_b02_piano_2013-3_gray.png,random,flexible,n02883344_15,n02818832_3,Stimuli/canonical view 2/img_n02883344_15_gray.jpg,Stimuli/canonical view 2/img_n02818832_3_gray.jpg,random,left,Experiments/experiment_12/44.jpg,Experiments/experiment_12/45.jpg,Experiments/experiment_12/46.jpg,Experiments/experiment_12/47.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[1.3746000000014647],False,,0.0,0.0,11.0,11.0,11.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n04405907_8/img_napoleon_iii_sofa_stylized_tv_2012_gray.jpg,n04256520_9,n04405907_8,flexible,0.721387,n04405907_8,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n04405907_8/img_napoleon_iii_sofa_stylized_tv_2012-3_gray.png,foreground,same as foreground,n04256520_9,n04405907_8,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,foreground,right,Experiments/experiment_12/48.jpg,Experiments/experiment_12/49.jpg,Experiments/experiment_12/50.jpg,Experiments/experiment_12/51.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[0.786899999998468],False,,0.0,0.0,12.0,12.0,12.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02933112_-2/img_buffet_sink_base_white_wood_2007_gray.jpg,n02933112_4,n02933112_-2,fixed,0.704655,n02933112_-2,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n02933112_4/n02933112_-2/img_buffet_sink_base_white_wood_2007-3_gray.png,foreground,same as foreground,n02933112_4,n03928116_4,Stimuli/canonical view 2/img_n02933112_4_gray.jpg,Stimuli/canonical view 2/img_n03928116_4_gray.jpg,random,right,Experiments/experiment_12/52.jpg,Experiments/experiment_12/53.jpg,Experiments/experiment_12/54.jpg,Experiments/experiment_12/55.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[1.0034000000021024],False,,0.0,0.0,13.0,13.0,13.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n03928116_10/img_glass_table_ydp_103_r_2012__vray_2005_gray.jpg,n04379243_8,n03928116_10,flexible,0.722351,n03928116_10,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04379243_8/n03928116_10/img_glass_table_ydp_103_r_2012__vray_2005-3_gray.png,foreground,same as foreground,n04379243_8,n03928116_10,Stimuli/canonical view 2/img_n04379243_8_gray.jpg,Stimuli/canonical view 2/img_n03928116_10_gray.jpg,foreground,right,Experiments/experiment_12/56.jpg,Experiments/experiment_12/57.jpg,Experiments/experiment_12/58.jpg,Experiments/experiment_12/59.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,left,"[""left""]",[0.6440999999977066],False,,0.0,0.0,14.0,14.0,14.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n03001627_9/img_stylized_tv_chair_eames_plastic_armchair_2002_gray.jpg,n04405907_8,n03001627_9,fixed,0.838585,n03001627_9,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n03001627_9/img_stylized_tv_chair_eames_plastic_armchair_2002-3_gray.png,foreground,same as foreground,n04405907_8,n03001627_9,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,Stimuli/canonical view 2/img_n03001627_9_gray.jpg,foreground,right,Experiments/experiment_12/60.jpg,Experiments/experiment_12/61.jpg,Experiments/experiment_12/62.jpg,Experiments/experiment_12/63.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,left,"[""left""]",[0.817799999997078],False,,0.0,0.0,15.0,15.0,15.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_10/n03928116_0/img_ydp_103_r_2012__vray_b02_piano_2001_gray.jpg,n03928116_10,n03928116_0,flexible,0.709914,n03928116_0,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_10/n03928116_0/img_ydp_103_r_2012__vray_b02_piano_2001-3_gray.png,foreground,same as foreground,n03928116_10,n03928116_0,Stimuli/canonical view 2/img_n03928116_10_gray.jpg,Stimuli/canonical view 2/img_n03928116_0_gray.jpg,foreground,right,Experiments/experiment_12/64.jpg,Experiments/experiment_12/65.jpg,Experiments/experiment_12/66.jpg,Experiments/experiment_12/67.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,left,"[""left""]",[0.6655000000000655],False,,0.0,0.0,16.0,16.0,16.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n02818832_9/n02818832_3/img_bed01_blue_b05_ccm_contemporary_bed_max2013_2014_gray.jpg,n02818832_9,n02818832_3,flexible,0.85953,n02883344_-1,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04070727_5/n02883344_-1/img_b05_db_apps_tech_06_13_composite_woven_box_2012-3_gray.png,random,fixed,n02818832_9,n04379243_-7,Stimuli/canonical view 2/img_n02818832_9_gray.jpg,Stimuli/canonical view 2/img_n04379243_-7_gray.jpg,random,right,Experiments/experiment_12/68.jpg,Experiments/experiment_12/69.jpg,Experiments/experiment_12/70.jpg,Experiments/experiment_12/71.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,left,"[""right""]",[0.7866000000014992],False,,0.0,0.0,17.0,17.0,17.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n04405907_8/n04256520_9/img_stylized_tv_napoleon_iii_sofa_2014_gray.jpg,n04405907_8,n04256520_9,fixed,0.790068,n04379243_-7,Stimuli/psy_fixed_rotation_30_objects_occ0.7_0.9s/images/train/n03928116_10/n04379243_-7/img_ydp_103_r_2012__vray_quatre_dining_table_2012-3_gray.png,random,fixed,n04405907_8,n04405907_9,Stimuli/canonical view 2/img_n04405907_8_gray.jpg,Stimuli/canonical view 2/img_n04405907_9_gray.jpg,random,right,Experiments/experiment_12/72.jpg,Experiments/experiment_12/73.jpg,Experiments/experiment_12/74.jpg,Experiments/experiment_12/75.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[0.8741000000015902],False,,0.0,0.0,18.0,18.0,18.0,1.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n04405907_9/img_napoleon_iii_sofa_vray_004_2000_gray.jpg,n04256520_9,n04405907_9,flexible,0.726911,n04405907_9,Stimuli/psy_flexible_rotation_30_objects_occ0.7_0.9s/images/train/n04256520_9/n04405907_9/img_napoleon_iii_sofa_vray_004_2000-3_gray.png,foreground,same as foreground,n04256520_9,n02933112_-18,Stimuli/canonical view 2/img_n04256520_9_gray.jpg,Stimuli/canonical view 2/img_n02933112_-18_gray.jpg,random,right,Experiments/experiment_12/76.jpg,Experiments/experiment_12/77.jpg,Experiments/experiment_12/78.jpg,Experiments/experiment_12/79.jpg,537,1.0,2023-04-17_14h39.02.788,Occlusion_Psychophysics,2022.1.4,MacIntel,30.02101471,,,right,"[""right""]",[0.7622000000028493],False,,0.0,0.0,19.0,19.0,19.0,1.0,,,,,,
